episode,timestep,reward,length,rolling_mean_reward_20
1,136,1.0,211,1.0
2,164,2.0,236,1.5
3,180,2.0,238,1.667
4,196,2.0,274,1.75
5,320,2.0,238,1.8
6,336,2.0,232,1.833
7,368,3.0,265,2.0
8,468,1.0,203,1.875
9,488,5.0,360,2.222
10,496,1.0,190,2.1
11,516,2.0,263,2.091
12,608,1.0,182,2.0
13,632,1.0,220,1.923
14,720,4.0,335,2.071
15,724,0.0,174,1.933
16,732,3.0,275,2.0
17,876,2.0,221,2.0
18,888,5.0,338,2.167
19,896,2.0,222,2.158
20,928,3.0,263,2.2
21,996,0.0,166,2.15
22,1048,2.0,249,2.15
23,1048,2.0,230,2.15
24,1132,1.0,202,2.1
25,1140,0.0,163,2.0
26,1172,4.0,323,2.1
27,1228,2.0,236,2.05
28,1232,0.0,161,2.0
29,1304,2.0,247,1.85
30,1308,1.0,214,1.85
31,1332,0.0,154,1.75
32,1348,1.0,176,1.75
33,1472,2.0,230,1.8
34,1488,2.0,251,1.7
35,1520,2.0,248,1.8
36,1556,3.0,286,1.8
37,1564,0.0,165,1.7
38,1608,1.0,183,1.5
39,1620,0.0,162,1.4
40,1648,0.0,175,1.25
41,1756,3.0,271,1.4
42,1772,2.0,247,1.4
43,1820,3.0,282,1.45
44,1860,3.0,295,1.55
45,1892,1.0,215,1.6
46,1976,2.0,222,1.5
47,1980,3.0,277,1.55
48,1984,0.0,159,1.55
49,2004,1.0,209,1.5
50,2076,0.0,160,1.45
51,2140,2.0,232,1.55
52,2164,2.0,258,1.6
53,2196,3.0,267,1.65
54,2204,1.0,195,1.6
55,2284,1.0,225,1.55
56,2292,1.0,208,1.45
57,2296,0.0,154,1.45
58,2340,1.0,201,1.45
59,2396,0.0,177,1.45
60,2412,1.0,188,1.5
61,2460,1.0,192,1.4
62,2500,3.0,282,1.45
63,2548,1.0,196,1.35
64,2552,2.0,239,1.3
65,2636,1.0,221,1.3
66,2640,2.0,259,1.3
67,2684,1.0,193,1.2
68,2708,2.0,217,1.3
69,2740,0.0,157,1.25
70,2772,1.0,192,1.3
71,2820,1.0,212,1.25
72,2876,1.0,208,1.2
73,2912,3.0,277,1.2
74,2956,2.0,241,1.25
75,3004,2.0,245,1.3
76,3040,2.0,234,1.35
77,3056,0.0,158,1.35
78,3076,2.0,236,1.4
79,3132,0.0,159,1.4
80,3168,0.0,150,1.35
81,3184,1.0,203,1.35
82,3204,3.0,280,1.35
83,3260,0.0,175,1.3
84,3288,2.0,225,1.3
85,3328,1.0,203,1.3
86,3332,1.0,197,1.25
87,3428,2.0,225,1.3
88,3432,1.0,220,1.25
89,3432,0.0,156,1.25
90,3492,2.0,238,1.3
91,3576,0.0,145,1.25
92,3596,2.0,224,1.3
93,3632,3.0,264,1.3
94,3676,4.0,323,1.4
95,3732,1.0,206,1.35
96,3764,2.0,247,1.35
97,3800,2.0,250,1.45
98,3848,2.0,231,1.45
99,3956,3.0,286,1.6
100,3964,3.0,265,1.75
101,3984,1.0,205,1.75
102,3992,2.0,248,1.7
103,4048,0.0,146,1.7
104,4064,0.0,166,1.6
105,4092,0.0,155,1.55
106,4160,2.0,245,1.6
107,4224,2.0,231,1.6
108,4228,1.0,204,1.6
109,4268,3.0,286,1.75
110,4364,1.0,217,1.7
111,4396,3.0,311,1.85
112,4396,1.0,182,1.8
113,4400,2.0,242,1.75
114,4524,1.0,199,1.6
115,4528,1.0,199,1.6
116,4528,2.0,245,1.6
117,4532,1.0,204,1.55
118,4628,0.0,177,1.45
119,4696,2.0,226,1.4
120,4712,2.0,247,1.35
121,4744,3.0,295,1.45
122,4832,1.0,197,1.4
123,4836,0.0,156,1.4
124,4840,1.0,205,1.45
125,4912,5.0,347,1.7
126,4928,0.0,151,1.6
127,4976,1.0,212,1.55
